 ----------------------------------------------------------------------
 ----------          Welcome to Topology Optimizer          -----------
 ----------------------------------------------------------------------
                                                                       
       Version 2020 R1 (Build: 154) from 20191203                       
                                                                       
       Copyright 2020 ANSYS Inc. All Rights Reserved               
                                                                       
 ----------------------------------------------------------------------
 
       Execution time: Fri Oct  2 09:02:13 2020

 ----------------------------------------------------------------------
 
   Parameter setting:
      solver                   = Scpip
      ansys version            = 2020 R1
      design elements          = OptimizationRegionElements.dat
      feedersystem list:
       - Static system 'Static42' with id 42: 1 load case(s) at t = 1
      penalty parameter        = 3
      initial response scaling = yes
      minimum member size      = 0
      maximum member size      = 0
      minimum density          = 0.001
      restart information      = final
      mapdl ncnv               = 1e+12
      maximum iteration        = 500
      acc                      = 0.001
      units                    = MPA
      output frequency         = 1
      max intermediate files   = 500
      objective 1              = total mass [1]
      constraint 1             = global stress for load step number 1 of feeder system 'Static42' with upper bound 100
      method                   = SCP
      acc scp                  = 1e-06
      version scp              = 402
      cut off in scp           = 1
      linear inequalities remain in active set in scp = selected always
      initial penalty scp      = 1
      asymptote strategy       = program controlled

 ----------------------------------------------------------------------
   Start generating constant data...
   ...done
   Start generating tree...
   ...finished.
   Start generating element neighborhood...
    10 Percent done
    20 Percent done
    30 Percent done
    40 Percent done
    50 Percent done
    60 Percent done
    70 Percent done
    80 Percent done
    90 Percent done
   100 Percent done
   ...finished.
   Starting Ansys...
   Asymptote strategy applied: adaptive
 
  INITIAL SUMMARY
  ---------------
  Objective(s):
    [  1] Name: Objective
          Value : 1.70502e-01
 
  Constraint(s):
    [  1] Name: Global Von-Mises Stress Constraint
                             Value: 5.61551e+02 <= UB: 1.00000e+02  Deviation: 461.551 % NOTE: This is an approximation to the actual value: 518.857. The bound is not satisfied.
 
  Iter :  number of iterations
  #LS  :  number of line search iterations
  #ME  :  number of model evaluations

                                         max relative
                                         deviation of
                         objective       constraints     convergence
   Iter  #LS     #ME     measurement     in %            criterion
    234    1     364     9.01859e-01     3.30937e+02     3.30973e+00
    235    1     365     9.01547e-01     3.30696e+02     3.30731e+00
    236    2     367     9.01415e-01     3.30544e+02     3.30558e+00
    237    1     368     9.01733e-01     3.30438e+02     3.30473e+00
    238    1     369     9.02617e-01     3.30418e+02     3.30516e+00
    239    2     371     9.02538e-01     3.30404e+02     3.30413e+00
   Restart performed 
    240    1     372     9.02831e-01     3.32215e+02     3.32248e+00
    241    3     375     9.02941e-01     3.31984e+02     3.31996e+00
    242    3     378     9.03172e-01     3.31924e+02     3.31950e+00
    243    2     380     9.02459e-01     3.31547e+02     3.31626e+00
    244    2     382     9.03047e-01     3.31530e+02     3.31595e+00
    245    1     383     9.02751e-01     3.31310e+02     3.31343e+00
    246    1     384     9.02751e-01     3.31243e+02     3.31244e+00
    247    2     386     9.02589e-01     3.31185e+02     3.31203e+00
    248    1     387     9.02999e-01     3.30997e+02     3.31042e+00
    249    2     389     9.03068e-01     3.30985e+02     3.30993e+00
    250    1     390     9.03413e-01     3.30936e+02     3.30974e+00
    251    2     392     9.03394e-01     3.30928e+02     3.30930e+00
    252    2     394     9.03384e-01     3.30926e+02     3.30927e+00
    253    2     396     9.03430e-01     3.30925e+02     3.30930e+00
   Restart performed 
    254    1     397     9.03637e-01     3.30567e+02     3.30590e+00
    255    3     400     9.03698e-01     3.30557e+02     3.30563e+00
    256    3     403     9.03746e-01     3.30553e+02     3.30558e+00
    257    3     406     9.03539e-01     3.30551e+02     3.30574e+00
   Restart performed 
    258    2     408     9.03701e-01     3.31841e+02     3.31859e+00
    259    2     410     9.03409e-01     3.31222e+02     3.31255e+00
    260    2     412     9.03713e-01     3.30977e+02     3.31011e+00
    261    2     414     9.02973e-01     3.30727e+02     3.30809e+00
    262    2     416     9.03139e-01     3.30704e+02     3.30722e+00
    263    1     417     9.04248e-01     3.30748e+02     3.30871e+00
    264    2     419     9.03553e-01     3.30686e+02     3.30763e+00
   Restart performed 
    265    1     420     9.03392e-01     3.32133e+02     3.32151e+00
    266    3     423     9.03567e-01     3.32034e+02     3.32053e+00
    267    2     425     9.04716e-01     3.31547e+02     3.31674e+00
    268    2     427     9.03689e-01     3.31391e+02     3.31505e+00
    269    2     429     9.03686e-01     3.31367e+02     3.31368e+00
    270    2     431     9.03707e-01     3.31361e+02     3.31363e+00
    271    2     433     9.03809e-01     3.31357e+02     3.31368e+00
    272    2     435     9.03770e-01     3.31355e+02     3.31360e+00
    273    2     437     9.03897e-01     3.31354e+02     3.31369e+00
   Restart performed 
    274    1     438     9.03347e-01     3.29696e+02     3.29757e+00
    275    3     441     9.03646e-01     3.29666e+02     3.29699e+00
    276    3     444     9.04092e-01     3.29648e+02     3.29697e+00
    277    3     447     9.03875e-01     3.29646e+02     3.29670e+00
   Restart performed 
    278    2     449     9.03964e-01     3.31949e+02     3.31959e+00
    279    2     451     9.03819e-01     3.31173e+02     3.31189e+00
    280    2     453     9.03928e-01     3.30932e+02     3.30944e+00
    281    2     455     9.03361e-01     3.30912e+02     3.30974e+00
    282    2     457     9.03657e-01     3.30906e+02     3.30939e+00
   Restart performed 
    283    2     459     9.03612e-01     3.31238e+02     3.31243e+00
    284    3     462     9.03650e-01     3.31229e+02     3.31233e+00
    285    3     465     9.03806e-01     3.31227e+02     3.31244e+00
    286    1     466     8.96584e-01     3.30603e+02     3.31402e+00
    287    1     467     9.07742e-01     3.29148e+02     3.30392e+00
